trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
RE2D,06:47:00,06:47:00,G-3612,2,,
RE2D,06:48:00,06:48:00,G-3655,3,,
RE2D,06:49:00,06:49:00,G-3640,4,,
RE2D,06:50:00,06:50:00,G-1616,5,,
RE2D,06:51:00,06:51:00,G-1626,6,,
RE2D,06:52:00,06:52:00,G-1840,7,,
RE2D,06:53:00,06:53:00,G-2134,8,,
RE2D,06:54:00,06:54:00,G-1881,9,,
RE2D,06:55:00,06:55:00,G-1769,10,,
RE2D,06:56:00,06:56:00,G-1553,11,,
RE2D,06:57:00,06:57:00,G-1427,12,,
RE2D,06:58:00,06:58:00,G-1531,13,,
RE2D,06:59:00,06:59:00,G-1507,14,,
RE2D,07:00:00,07:00:00,BUILDING_18,15,,
RE2D,07:01:00,07:01:00,BUILDING_14,16,,
RE2D,07:03:00,07:03:00,BUILDING_16,17,,
RE2D,07:05:00,07:05:00,CLINIC,18,,
RE2D,07:08:00,07:08:00,,19,,
RE2D,07:10:00,07:10:00,,20,,
CA2E,06:45:00,06:45:00,TAMIMI,1,,
CA2E,06:47:00,06:47:00,CLINIC_1,2,,
CA2E,06:50:00,06:50:00,BUILDING_16,3,,
CA2E,06:53:00,06:53:00,BUILDING_14_1,4,,
CA2E,06:55:00,06:55:00,BUILDING_18_1,5,,
BL1D,06:50:00,06:50:00,TAMIMI,1,,
BL1D,06:51:00,06:51:00,HARBOR_EAST,2,,
BL1D,06:52:00,06:52:00,G-3961,3,,
BL1D,06:53:00,06:53:00,HRC,4,,
BL1D,06:54:00,06:54:00,H-4207A,5,,
BL1D,06:56:00,06:56:00,I-5231,6,,
BL1D,06:57:00,06:57:00,I-5244,7,,
BL1D,06:58:00,06:58:00,I-5318,8,,
BL1D,06:59:00,06:59:00,I-5551,9,,
BL1D,07:00:00,07:00:00,I-5567,10,,
BL1D,07:01:00,07:01:00,OASIS,11,,
BL1D,07:02:00,07:02:00,I-5748,12,,
BL1D,07:03:00,07:03:00,I-5764,13,,
BL1D,07:04:00,07:04:00,AL_MARSA,14,,
BL1D,07:05:00,07:05:00,H-4104,15,,
BL1D,07:06:00,07:06:00,H-4113A,16,,
BL1D,07:07:00,07:07:00,H-4119,17,,
BL1D,07:08:00,07:08:00,GRAND_MOSQUE,18,,
BL1D,07:10:00,07:10:00,BUILDING_18,19,,
BL1D,07:12:00,07:12:00,BUILDING_14,20,,
BL1D,07:15:00,07:15:00,BUILDING_16,21,,
BL1D,07:17:00,07:17:00,CLINIC,22,,
OR1D,06:55:00,06:55:00,HES,1,,
OR1D,06:57:00,06:57:00,I-5202,2,,
OR1D,06:58:00,06:58:00,I-5511,3,,
OR1D,06:59:00,06:59:00,I-5605,4,,
OR1D,07:00:00,07:00:00,I-522M,5,,
OR1D,07:02:00,07:02:00,I-535M,6,,
OR1D,07:03:00,07:03:00,I-548M,7,,
OR1D,07:04:00,07:04:00,IRC,8,,
