trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
RED2,06:58:00,06:58:00,G-1531,13,,
RED2,06:59:00,06:59:00,G-1507,14,,
RED2,07:00:00,07:00:00,G-3522,15,,
RED2,07:01:00,07:01:00,G-3621,16,,
RED2,07:03:00,07:03:00,CLINIC,17,,
RED2,07:05:00,07:05:00,BUILDING_16,18,,
RED2,07:08:00,07:08:00,BUILDING_14_1,19,,
RED2,07:10:00,07:10:00,BUILDING_18_1,20,,
CAE1,06:45:00,06:45:00,TAMIMI,6,,
CAE1,06:47:00,06:47:00,CLINIC_1,7,,
CAE1,06:50:00,06:50:00,BUILDING_16,8,,
CAE1,06:53:00,06:53:00,BUILDING_14,9,,
CAE1,06:55:00,06:55:00,BUILDING_18,10,,
BLD1,06:50:00,06:50:00,TAMIMI,23,,
BLD1,06:51:00,06:51:00,HARBOR_EAST,24,,
BLD1,06:52:00,06:52:00,G-3961,25,,
BLD1,06:53:00,06:53:00,HRC,26,,
BLD1,06:54:00,06:54:00,H-4207A,27,,
BLD1,06:56:00,06:56:00,I-5231,28,,
BLD1,06:57:00,06:57:00,I-5244,29,,
BLD1,06:58:00,06:58:00,I-5318,30,,
BLD1,06:59:00,06:59:00,I-5551,31,,
BLD1,07:00:00,07:00:00,I-5567,32,,
BLD1,07:01:00,07:01:00,OASIS,33,,
BLD1,07:02:00,07:02:00,I-5748,34,,
BLD1,07:03:00,07:03:00,I-5764,35,,
BLD1,07:04:00,07:04:00,AL_MARSA,36,,
BLD1,07:05:00,07:05:00,H-4104,37,,
BLD1,07:06:00,07:06:00,H-4113A,38,,
BLD1,07:07:00,07:07:00,H-4119,39,,
BLD1,07:08:00,07:08:00,GRAND_MOSQUE,40,,
BLD1,07:10:00,07:10:00,BUILDING_18_1,41,,
BLD1,07:12:00,07:12:00,BUILDING_14_1,42,,
BLD1,07:15:00,07:15:00,BUILDING_16,43,,
BLD1,07:17:00,07:17:00,CLINIC,44,,
ORD1,06:55:00,06:55:00,TAMIMI,21,,
ORD1,06:57:00,06:57:00,HES,22,,
ORD1,06:58:00,06:58:00,I-5202,23,,
ORD1,06:59:00,06:59:00,I-5511,24,,
ORD1,07:00:00,07:00:00,I-5605,25,,
ORD1,07:02:00,07:02:00,I-522M,26,,
ORD1,07:03:00,07:03:00,I-535M,27,,
ORD1,07:04:00,07:04:00,I-548M,28,,
ORD1,07:05:00,07:05:00,IRC,29,,
ORD1,07:06:00,07:06:00,I-5716,30,,
ORD1,07:07:00,07:07:00,I-5732,31,,
ORD1,07:08:00,07:08:00,I-5630,32,,
ORD1,07:09:00,07:09:00,I-5614,33,,
ORD1,07:10:00,07:10:00,I-5529,34,,
ORD1,07:11:00,07:11:00,H-4206A,35,,
ORD1,07:12:00,07:12:00,KAUST_INN,36,,
ORD1,07:13:00,07:13:00,BUILDING_18_1,37,,
ORD1,07:15:00,07:15:00,BUILDING_14_1,38,,
ORD1,07:18:00,07:18:00,BUILDING_16,39,,
ORD1,07:20:00,07:20:00,CLINIC,40,,
GRD1,06:50:00,06:50:00,TAMIMI,22,,
GRD1,06:51:00,06:51:00,G-3727,23,,
